Epoch 1100: train RMSE 1.8384, test RMSE 1.8426
Epoch 1110: train RMSE 1.8384, test RMSE 1.8428
Epoch 1120: train RMSE 1.8385, test RMSE 1.8424
Epoch 1130: train RMSE 1.8384, test RMSE 1.8425
Epoch 1140: train RMSE 1.8389, test RMSE 1.8422
Epoch 1150: train RMSE 1.8384, test RMSE 1.8424
Epoch 1160: train RMSE 1.8384, test RMSE 1.8426
Epoch 1170: train RMSE 1.8395, test RMSE 1.8426
Epoch 1180: train RMSE 1.8388, test RMSE 1.8409
Epoch 1190: train RMSE 1.8386, test RMSE 1.8419
Epoch 1200: train RMSE 1.8384, test RMSE 1.8421
Epoch 1210: train RMSE 1.8385, test RMSE 1.8423
Epoch 1220: train RMSE 1.8384, test RMSE 1.8424
Epoch 1230: train RMSE 1.8385, test RMSE 1.8415
Epoch 1240: train RMSE 1.8384, test RMSE 1.8416
Epoch 1250: train RMSE 1.8384, test RMSE 1.8419
Epoch 1260: train RMSE 1.8410, test RMSE 1.8425
Epoch 1270: train RMSE 1.8388, test RMSE 1.8419
Epoch 1280: train RMSE 1.8386, test RMSE 1.8420
Epoch 1290: train RMSE 1.8385, test RMSE 1.8410
Epoch 1300: train RMSE 1.8386, test RMSE 1.8423
Epoch 1310: train RMSE 1.8385, test RMSE 1.8410
Epoch 1320: train RMSE 1.8385, test RMSE 1.8414
Epoch 1330: train RMSE 1.8393, test RMSE 1.8417
Epoch 1340: train RMSE 1.8385, test RMSE 1.8411
Epoch 1350: train RMSE 1.8387, test RMSE 1.8420
Epoch 1360: train RMSE 1.8384, test RMSE 1.8412
Epoch 1370: train RMSE 1.8384, test RMSE 1.8413
Epoch 1380: train RMSE 1.8384, test RMSE 1.8415
Epoch 1390: train RMSE 1.8407, test RMSE 1.8423
Epoch 1400: train RMSE 1.8384, test RMSE 1.8417
Epoch 1410: train RMSE 1.8384, test RMSE 1.8415
Epoch 1420: train RMSE 1.8384, test RMSE 1.8419
Epoch 1430: train RMSE 1.8388, test RMSE 1.8423
Epoch 1440: train RMSE 1.8384, test RMSE 1.8425
Epoch 1450: train RMSE 1.8384, test RMSE 1.8416
Epoch 1460: train RMSE 1.8384, test RMSE 1.8417
Epoch 1470: train RMSE 1.8384, test RMSE 1.8417
Epoch 1480: train RMSE 1.8387, test RMSE 1.8412
Epoch 1490: train RMSE 1.8384, test RMSE 1.8417
Epoch 1500: train RMSE 1.8384, test RMSE 1.8423
